Start_Row,End_Row,Window_Size,Mean,Standard_Deviation,Entropy
0,50,50,2.5,0.806225774829855,4.232487689168953
50,100,50,2.1739130434782608,0.7010658911563957,4.443074189428567
100,150,50,2.5,0.7416198487095663,4.247585439212222
150,200,50,2.5,0.806225774829855,4.232487689168953
200,250,50,2.272727272727273,0.616575453011388,4.403074189428569
250,300,50,2.380952380952381,0.8438116736509215,4.287585439212222
300,350,50,2.5,0.806225774829855,4.232487689168953
350,400,50,2.5,0.5,4.29287868934203
400,450,50,2.272727272727273,0.8624393618641034,4.342683189255491
450,500,50,2.380952380952381,0.7853534524986021,4.30268318925549
500,550,50,2.5,0.5916079783099616,4.2777809392987605
550,600,50,2.380952380952381,0.8438116736509215,4.287585439212222
600,650,50,2.272727272727273,0.616575453011388,4.403074189428567
650,700,50,2.5,0.806225774829855,4.232487689168953
700,750,50,2.5,0.806225774829855,4.232487689168953
750,800,50,2.272727272727273,0.616575453011388,4.403074189428569
800,850,50,2.380952380952381,0.8438116736509215,4.287585439212222
850,900,50,2.5,0.806225774829855,4.232487689168952
900,950,50,2.5,0.5,4.29287868934203
950,1000,50,2.272727272727273,0.8624393618641034,4.342683189255491
1000,1050,50,2.380952380952381,0.7221786137191955,4.31778093929876
1050,1100,50,2.272727272727273,0.7496555682941201,4.372878689342031
1100,1150,50,2.380952380952381,0.8438116736509215,4.287585439212222
1150,1200,50,2.272727272727273,0.6863485850246136,4.387976439385298
1200,1250,50,2.5,0.7416198487095663,4.247585439212222
1250,1300,50,2.5,0.806225774829855,4.232487689168953
1300,1350,50,2.272727272727273,0.616575453011388,4.403074189428569
1350,1400,50,2.380952380952381,0.8438116736509215,4.287585439212222
1400,1450,50,2.5,0.806225774829855,4.232487689168953
1450,1500,50,2.5,0.8660254037844386,4.222683189255491
1500,1550,50,2.5,1.02469507659596,4.195783629896563
1550,1600,50,2.5,0.806225774829855,4.243074189428569
1600,1650,50,2.7777777777777777,0.9749960430435691,4.073269689515107
1650,1700,50,2.272727272727273,0.6863485850246136,4.387976439385301
1700,1750,50,2.380952380952381,1.2526615655205626,4.185979129983102
1750,1800,50,2.6315789473684212,1.0367218738732742,4.123074189428569
1800,1850,50,2.380952380952381,0.8438116736509215,4.298171939471838
1850,1900,50,2.1739130434782608,0.7605589428059089,4.4279764393853
1900,1950,50,3.125,1.1110243021644486,3.893660689688185
1950,2000,50,2.272727272727273,0.8624393618641034,4.353269689515106
2000,2050,50,2.9411764705882355,0.5391265523477459,4.062683189255491
2050,2100,50,2.380952380952381,1.045452304766674,4.24307418942857
2100,2150,50,2.5,0.5,4.292878689342029
2150,2200,50,2.6315789473684212,1.0367218738732742,4.128367439558377
2200,2250,50,2.9411764705882355,1.2588785034725114,3.9439818205809045
2250,2300,50,2.5,1.02469507659596,4.193269689515107
2300,2350,50,2.272727272727273,0.8080176743014171,4.3577809392987605
2350,2400,50,2.5,0.9219544457292888,4.218171939471838
2400,2450,50,2.5,1.284523257866513,4.12637013015618
2450,2500,50,2.5,0.9746794344808963,4.203074189428569
2500,2550,50,2.380952380952381,1.0454523047666737,4.248367439558377
2550,2600,50,2.5,0.5916079783099616,4.277780939298761
2600,2650,50,2.380952380952381,1.0900498230723425,4.241076880026371
2650,2700,50,2.380952380952381,1.0900498230723425,4.241076880026372
2700,2750,50,2.380952380952381,1.4952684255340554,4.117082261221977
2750,2800,50,2.5,1.3228756555322954,4.116565630242719
2800,2850,50,2.380952380952381,0.7853534524986021,4.313269689515106
2850,2900,50,2.5,1.161895003862225,4.1585629396449155
2900,2950,50,2.5,0.806225774829855,4.243074189428568
2950,3000,50,2.272727272727273,1.0946904162538451,4.296174630069641
3000,3050,50,2.9411764705882355,0.9374927912064251,4.008367439558377
3050,3100,50,2.272727272727273,0.8080176743014171,4.3577809392987605
3100,3150,50,2.7777777777777777,1.227262335243029,4.033269689515107
3150,3200,50,2.6315789473684212,1.529035689087784,4.020685879853294
3200,3250,50,2.9411764705882355,0.8022459821756386,4.0279764393852995
3250,3300,50,2.5,0.806225774829855,4.243074189428569
3300,3350,50,2.380952380952381,0.9988655696858586,4.258171939471838
3350,3400,50,2.5,1.161895003862225,4.1585629396449155
3400,3450,50,2.6315789473684212,1.4585691011106336,4.014177320667443
3450,3500,50,2.5,1.161895003862225,4.161076880026371
3500,3550,50,2.272727272727273,1.008230591491765,4.313269689515107
3550,3600,50,2.272727272727273,1.008230591491765,4.3079764393853
3600,3650,50,2.380952380952381,1.7036708399998397,4.042892142331042
3650,3700,50,2.380952380952381,0.9988655696858586,4.258171939471839
3700,3750,50,2.272727272727273,1.2856486930664501,4.236565630242719
3750,3800,50,2.5,1.02469507659596,4.193269689515107
3800,3850,50,2.6315789473684212,1.3845206776806218,4.044372820753982
3850,3900,50,2.6315789473684212,1.494217849113515,4.0121800112652455
3900,3950,50,2.380952380952381,1.0900498230723425,4.233269689515108
3950,4000,50,2.6315789473684212,1.086303549502647,4.1185629396449155
4000,4050,50,2.380952380952381,1.1741740958036144,4.2161746300696405
4050,4100,50,2.5,0.6708203932499369,4.262683189255492
4100,4150,50,2.5,0.9746794344808963,4.203074189428569
4150,4200,50,2.380952380952381,1.2140522651411392,4.1985629396449164
4200,4250,50,2.9411764705882355,0.9374927912064251,4.003074189428569
4250,4300,50,2.272727272727273,0.8624393618641034,4.353269689515107
4300,4350,50,2.7777777777777777,0.9162456945817024,4.088367439558377
4350,4400,50,2.380952380952381,1.1328930717495542,4.23127238011291
4400,4450,50,2.6315789473684212,0.871207650381413,4.163074189428569
4450,4500,50,2.5,0.9746794344808963,4.208367439558376
4500,4550,50,2.6315789473684212,0.7405919620773836,4.1879764393853
4550,4600,50,2.7777777777777777,0.7114582486036499,4.117780939298761
4600,4650,50,2.5,1.02469507659596,4.201076880026371
4650,4700,50,2.5,1.161895003862225,4.158562939644916
4700,4750,50,2.5,1.284523257866513,4.128884070537635
4750,4800,50,2.1739130434782608,0.9161438045958904,4.387976439385299
4800,4850,50,2.5,0.7416198487095663,4.247585439212222
4850,4900,50,2.5,0.8660254037844386,4.222683189255491
4900,4950,50,2.272727272727273,0.616575453011388,4.403074189428569
4950,5000,50,2.380952380952381,1.0900498230723425,4.233269689515107
5000,5050,50,2.272727272727273,1.28564869306645,4.239079570624175
5050,5100,50,2.380952380952381,0.8438116736509216,4.298171939471838
5100,5150,50,2.5,0.9746794344808963,4.208367439558376
5150,5200,50,2.272727272727273,0.8624393618641034,4.342683189255491
5200,5250,50,2.380952380952381,0.7853534524986021,4.30268318925549
5250,5300,50,2.5,0.5916079783099616,4.2777809392987605
5300,5350,50,2.5,0.806225774829855,4.232487689168953
5350,5400,50,2.272727272727273,0.616575453011388,4.403074189428568
5400,5450,50,2.380952380952381,0.8438116736509215,4.287585439212222
5450,5500,50,2.5,0.8660254037844386,4.222683189255491
5500,5550,50,2.5,0.5,4.29287868934203
5550,5600,50,2.272727272727273,0.8624393618641034,4.342683189255491
5600,5650,50,2.380952380952381,0.8438116736509215,4.287585439212221
5650,5700,50,2.5,0.5,4.29287868934203
5700,5750,50,2.272727272727273,0.8624393618641034,4.342683189255491
5750,5800,50,2.380952380952381,0.7853534524986021,4.30268318925549
5800,5850,50,2.5,0.5916079783099616,4.2777809392987605
5850,5900,50,2.5,0.806225774829855,4.232487689168953
5900,5950,50,2.272727272727273,0.616575453011388,4.403074189428568
5950,6000,50,2.380952380952381,0.8438116736509215,4.287585439212222
6000,6050,50,2.5,0.806225774829855,4.232487689168953
6050,6100,50,2.5,0.5,4.29287868934203
6100,6150,50,2.272727272727273,0.8624393618641034,4.342683189255491
6150,6200,50,2.380952380952381,0.8438116736509215,4.287585439212221
6200,6250,50,2.5,0.5,4.29287868934203
6250,6300,50,2.272727272727273,0.8624393618641034,4.342683189255491
6300,6350,50,2.380952380952381,0.7221786137191955,4.31778093929876
6350,6400,50,2.5,0.6708203932499369,4.262683189255491
6400,6450,50,2.5,0.806225774829855,4.232487689168953
6450,6500,50,2.272727272727273,0.616575453011388,4.403074189428569
6500,6550,50,2.380952380952381,0.8438116736509215,4.287585439212222
6550,6600,50,2.5,0.806225774829855,4.232487689168953
6600,6650,50,2.5,0.5,4.29287868934203
6650,6700,50,2.272727272727273,0.8624393618641034,4.342683189255491
6700,6750,50,2.380952380952381,0.7853534524986021,4.30268318925549
6750,6800,50,2.272727272727273,0.6863485850246136,4.3879764393853
6800,6850,50,2.272727272727273,0.8624393618641034,4.342683189255491
6850,6900,50,2.380952380952381,0.7853534524986021,4.30268318925549
6900,6950,50,2.5,0.5916079783099616,4.2777809392987605
6950,7000,50,2.5,0.806225774829855,4.232487689168953
7000,7050,50,2.272727272727273,0.616575453011388,4.403074189428568
7050,7100,50,2.380952380952381,0.8438116736509215,4.287585439212222
7100,7150,50,2.5,0.806225774829855,4.232487689168953
7150,7200,50,2.5,0.5,4.29287868934203
7200,7250,50,2.272727272727273,0.8624393618641034,4.342683189255491
7250,7300,50,2.380952380952381,0.8438116736509215,4.287585439212221
7300,7350,50,2.5,0.5,4.29287868934203
7350,7400,50,2.272727272727273,0.8624393618641034,4.342683189255491
7400,7450,50,2.380952380952381,0.7221786137191955,4.31778093929876
7450,7500,50,2.5,0.6708203932499369,4.262683189255491
7500,7550,50,2.5,0.806225774829855,4.232487689168953
7550,7600,50,2.272727272727273,0.616575453011388,4.403074189428569
7600,7650,50,2.380952380952381,0.8438116736509215,4.287585439212222
7650,7700,50,2.5,0.806225774829855,4.232487689168953
7700,7750,50,2.5,0.5,4.29287868934203
7750,7800,50,2.272727272727273,0.9136250564655355,4.33287868934203
7800,7850,50,2.380952380952381,0.7853534524986021,4.30268318925549
7850,7900,50,2.5,0.5916079783099616,4.2777809392987605
7900,7950,50,2.272727272727273,0.8624393618641034,4.342683189255491
7950,8000,50,2.380952380952381,0.6529194857524804,4.332878689342029
8000,8050,50,2.5,0.7416198487095663,4.247585439212222
8050,8100,50,2.5,0.806225774829855,4.232487689168953
8100,8150,50,2.272727272727273,0.616575453011388,4.403074189428569
8150,8200,50,2.380952380952381,0.8438116736509215,4.287585439212222
8200,8250,50,2.5,0.806225774829855,4.232487689168953
8250,8300,50,2.5,0.5,4.29287868934203
8300,8350,50,2.272727272727273,0.8624393618641034,4.342683189255491
8350,8400,50,2.380952380952381,0.7853534524986021,4.30268318925549
8400,8450,50,2.5,0.5916079783099616,4.2777809392987605
8450,8500,50,2.272727272727273,0.8624393618641034,4.342683189255491
8500,8550,50,2.380952380952381,0.7221786137191955,4.31778093929876
8550,8600,50,2.5,0.6708203932499369,4.262683189255491
8600,8650,50,2.272727272727273,0.8624393618641034,4.342683189255491
8650,8700,50,2.272727272727273,0.7496555682941201,4.372878689342031
8700,8750,50,2.380952380952381,0.7221786137191952,4.3177809392987605
8750,8800,50,2.5,0.806225774829855,4.232487689168953
8800,8850,50,2.5,0.5,4.29287868934203
8850,8900,50,2.272727272727273,0.8624393618641034,4.342683189255491
8900,8950,50,2.380952380952381,0.7853534524986021,4.30268318925549
8950,9000,50,2.5,0.5916079783099616,4.2777809392987605
9000,9050,50,2.272727272727273,0.9136250564655355,4.33287868934203
9050,9100,50,2.380952380952381,0.7221786137191955,4.31778093929876
9100,9150,50,2.5,0.6708203932499369,4.262683189255491
9150,9200,50,2.5,0.806225774829855,4.232487689168953
9200,9250,50,2.272727272727273,0.7496555682941201,4.37287868934203
9250,9300,50,2.380952380952381,0.7221786137191952,4.3177809392987605
9300,9350,50,2.5,0.806225774829855,4.232487689168953
9350,9400,50,2.5,0.5,4.292878689342029
9400,9450,50,2.272727272727273,0.8624393618641034,4.342683189255491
9450,9500,50,2.380952380952381,0.7853534524986021,4.30268318925549
9500,9550,50,2.5,0.5916079783099616,4.2777809392987605
9550,9600,50,2.272727272727273,0.8624393618641034,4.342683189255491
9600,9650,50,2.380952380952381,0.7853534524986021,4.30268318925549
9650,9700,50,2.5,0.5916079783099616,4.2777809392987605
9700,9750,50,2.5,0.806225774829855,4.232487689168953
9750,9800,50,2.272727272727273,0.6863485850246136,4.387976439385299
9800,9850,50,2.380952380952381,0.785353452498602,4.302683189255491
9850,9900,50,2.5,0.806225774829855,4.232487689168953
9900,9950,50,2.5,0.5,4.29287868934203
9950,10000,50,2.272727272727273,0.8624393618641034,4.342683189255491
10000,10050,50,2.380952380952381,0.7853534524986021,4.30268318925549
10050,10100,50,2.5,0.5916079783099616,4.2777809392987605
10100,10150,50,2.272727272727273,0.8624393618641034,4.342683189255492
10150,10200,50,2.5,1.161895003862225,4.161076880026371
10200,10250,50,2.5,0.9219544457292888,4.2128786893420305
10250,10300,50,2.7777777777777777,1.4740554623801778,3.9648894517332396
10300,10350,50,2.5,1.0723805294763609,4.199079570624174
10350,10400,50,2.6315789473684212,1.4585691011106334,4.040240000427043
10400,10450,50,2.380952380952381,1.1741740958036144,4.2161746300696405
10450,10500,50,2.6315789473684212,0.9846466807299845,4.1434651896016454
10500,10550,50,2.7777777777777777,1.7177360926378118,3.910435500513582
10550,10600,50,2.5,0.9746794344808963,4.210881379939831
10600,10650,50,2.7777777777777777,1.4358719981466763,3.9957836298965628
10650,10700,50,2.5,1.2041594578792296,4.15127238011291
10700,10750,50,2.5,1.2449899597988732,4.1361746300696405
10750,10800,50,2.5,0.9746794344808963,4.203074189428568
10800,10850,50,2.5,0.6708203932499369,4.2679764393853
10850,10900,50,2.6315789473684212,0.9846466807299845,4.138171939471838
10900,10950,50,2.380952380952381,1.045452304766674,4.250881379939833
10950,11000,50,2.5,1.161895003862225,4.1585629396449155
11000,11050,50,2.380952380952381,0.7221786137191953,4.323074189428568
11050,11100,50,3.125,0.7806247497997998,3.9532696895151074
11100,11150,50,2.272727272727273,1.094690416253845,4.28307418942857
11150,11200,50,2.6315789473684212,0.9846466807299846,4.1512723801129106
11200,11250,50,2.5,1.0723805294763609,4.191272380112911
11250,11300,50,2.380952380952381,1.1328930717495542,4.218171939471838
11300,11350,50,2.9411764705882355,1.3047690007540491,3.936691261048898
11350,11400,50,2.5,1.2041594578792296,4.15127238011291
11400,11450,50,2.5,1.02469507659596,4.201076880026371
11450,11500,50,2.5,1.02469507659596,4.193269689515107
11500,11550,50,2.9411764705882355,1.1098801331831298,3.981467880199449
11550,11600,50,2.5,0.7416198487095663,4.252878689342031
11600,11650,50,2.6315789473684212,0.9846466807299845,4.138171939471838
